"Jahr";"StaeNichtStaeBev_CD";"StaeNichtStaeBev";"Auslaendergruppe_CD";"Auslaendergruppe";"Sektor_CD";"Sektor";"Geschlecht_CD";"Geschlecht";"Arbeitskanton_CD";"Arbeitskanton";"Nation_CD";"Nation";"Kontinent_CD";"Kontinent";"EuropaDrittstaat_CD";"EuropaDrittstaat";"AnzahlPersonen"
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";205;"Bulgarien";1;"Europa";3;"EU-2";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";218;"Italien";1;"Europa";1;"EU-17";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";230;"Polen";1;"Europa";2;"EU-8";11
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";231;"Portugal";1;"Europa";1;"EU-17";4
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";232;"Rumänien";1;"Europa";3;"EU-2";5
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";240;"Ungarn";1;"Europa";2;"EU-8";4
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";243;"Slowakische Republik";1;"Europa";2;"EU-8";5
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";265;"Ukraine";1;"Europa";6;"Drittstaaten";2
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";1;"Zürich";406;"Brasilien";3;"Amerika";6;"Drittstaaten";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";205;"Bulgarien";1;"Europa";3;"EU-2";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";230;"Polen";1;"Europa";2;"EU-8";20
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";231;"Portugal";1;"Europa";1;"EU-17";9
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";232;"Rumänien";1;"Europa";3;"EU-2";9
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";236;"Spanien";1;"Europa";1;"EU-17";2
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";240;"Ungarn";1;"Europa";2;"EU-8";4
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";243;"Slowakische Republik";1;"Europa";2;"EU-8";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";248;"Serbien";1;"Europa";6;"Drittstaaten";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";250;"Kroatien";1;"Europa";4;"EU-1";2
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";265;"Ukraine";1;"Europa";6;"Drittstaaten";2
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";401;"Argentinien";3;"Amerika";6;"Drittstaaten";2
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";2;"Bern";406;"Brasilien";3;"Amerika";6;"Drittstaaten";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";3;"Luzern";205;"Bulgarien";1;"Europa";3;"EU-2";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";3;"Luzern";207;"Deutschland";1;"Europa";1;"EU-17";1
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";3;"Luzern";230;"Polen";1;"Europa";2;"EU-8";16
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";3;"Luzern";231;"Portugal";1;"Europa";1;"EU-17";2
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";3;"Luzern";232;"Rumänien";1;"Europa";3;"EU-2";2
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";3;"Luzern";240;"Ungarn";1;"Europa";2;"EU-8";2
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";3;"Luzern";243;"Slowakische Republik";1;"Europa";2;"EU-8";3
2019;1;"Ständige ausl. Bevölkerung";1;"Kurzaufenthalter (L) >= 12 Monate";1;"Sektor Landwirtschaft";0;"Männlich";3;"Luzern";265;"Ukraine";1;"Europa";6;"Drittstaaten";5
